NLSitNummer,DatumFileBegin,DatumFileEind,TijdFileBegin,TijdFileEind,FileZwaarte,GemLengte,FileDuur,HectometerKop,HectometerStaart,RouteLet,RouteNum,RouteOms,hectometreringsrichting,KopWegvakVan,KopWegvakNaar,TrajVan,TrajNaar,OorzaakGronddetail,OorzaakVerloop,OorzaakCodeVerloop,OorzaakCode,Oorzaak_1,Oorzaak_2,Oorzaak_3,Oorzaak_4
2788613,10/8/2020,10/8/2020,16:33:00,16:45:05,"39,217","3,245,517","12,083","50,5","53,5",A,12,A12,aflopend,Harmelen,Harmelen,Utrecht,Den Haag,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 12],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788894,10/10/2020,10/10/2020,14:09:00,14:20:04,"22,133","2,000,000","11,067","31,6","33,6",A,20,A20,aflopend,Rotterdam-Crooswijk,Rotterdam-Noord,Gouda,Hoek van Holland,File buiten spits (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 11],[000],3,File buiten spits (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788750,10/9/2020,10/9/2020,11:45:00,12:19:21,"93,233","2,714,216","34,350","93,1","92,1",A,2,A2,oplopend,Martinus Nijhoffbrug,Zaltbommel,Utrecht,'s-Hertogenbosch,Defecte vrachtwagen(s),"[Geen oorzaakcode opgegeven door VWM 1], [Defecte vrachtwagen(s) 33]","[000], [HBD]",HBD,Defecte vrachtwagen(s),Defecte vrachtwagen,Incident (gestrand voertuig),Incident
2788660,10/8/2020,10/8/2020,17:47:00,17:48:03,"2,100","2,000,000","1,050","105,0","103,0",A,73,A73,oplopend,Wijchen,Nijmegen,Maasbracht,Nijmegen,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 1],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788813,10/9/2020,10/9/2020,16:38:00,16:57:04,"38,133","2,000,000","19,067","21,4","19,4",A,58,A58,oplopend,Brug Over Het Wilhelminakanaal Hm 20.7,Moergestel,Eindhoven,Tilburg,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 19],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788801,10/9/2020,10/9/2020,16:11:00,16:12:06,"2,200","2,000,000","1,100","102,1","100,1",A,59,A59,oplopend,Oosterhout,Raamsdonksveer,Zonzeel,'s-Hertogenbosch,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 1],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788484,10/7/2020,10/7/2020,16:48:00,17:52:01,"468,283","7,315,022","64,017","149,3","145,3",A,59,A59,oplopend,Nuland,Oss,'s-Hertogenbosch,Oss,Ongeval(len),"[Ongeval(len) 40], [Eerder(e) ongeval(len) 24]","[ACI], [ACA]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2788320,10/6/2020,10/6/2020,14:38:00,15:06:55,"88,833","3,072,046","28,917","238,0","240,0",A,2,A2,aflopend,Urmond,Born,Maastricht-Noord,Eindhoven,Ongeval(len),"[Geen oorzaakcode opgegeven door VWM 0], [Ongeval(len) 28], [Eerder(e) ongeval(len) 0]","[000], [ACI], [ACA]",ACI,Ongeval(len),Ongeval,Ongeval,Ongeval
2788245,10/6/2020,10/6/2020,7:38:00,7:45:19,"14,800","2,022,779","7,317","2,1","4,1",A,4,A4,aflopend,Badhoevedorp,Amsterdam-Sloten,Den Haag,Amsterdam,Voorwerpen op de weg,"[Voorwerpen op de weg 7], [Geen oorzaakcode opgegeven door VWM 0]","[OBR], [000]",OBR,Voorwerpen op de weg,Lading op de weg,Incident (obstakel op de weg),Incident
2788228,10/6/2020,10/6/2020,6:49:00,6:53:06,"8,200","2,000,000","4,100","9,5","11,5",A,10,A10,aflopend,Zeeburgertunnel,Durgerdam,Amstel,Coenplein,Te ho(o)g(e) voertuig(en),"[Geen oorzaakcode opgegeven door VWM 1], [Te ho(o)g(e) voertuig(en) 1], [Geen oorzaakcode opgegeven door VWM 2]","[000], [OHV], [000]",OHV,Te ho(o)g(e) voertuig(en),Hoogtemelding,Incident,Incident
